UNKNOWN(21024501)                'ConsolidatedServiceCheck (iikoFront)'       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024608)                'HoresPaymentPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024701)                'LeClickPlugin (iiko)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024803)                'iikoWeb (web)'                              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024908)                'PaymentSensePlugin (IIKOFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024918)                'PaymentSensePlugin (IIKOFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025001)                'AtolFRPlugin'                               {2=[108 (2010-01-01, ..)]}
UNKNOWN(21025107)                'ZakaZaka (Web)'                             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025207)                'YandexDelivery (web)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025308)                'UCSShelterPlugin (iikoFront)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025407)                'iikoRadarWeb (iikoWeb)'                     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025501)                'StartiikoWebPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025601)                'MAS_Scale (iikoFront)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025701)                'UzFiscalIntegration (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21025901)                'BelorussianOrdersUploader (iikoFront)'      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026008)                'RaiffeisenPlugin (iikoFront)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026301)                'api_iikoCardMobile (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026408)                'iDramPlugin (iikoFront)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026501)                'PartnerTechPlugin (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026601)                'UzFiscalDriveSicNt (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026709)                'PrepPlan (iikoWeb)'                         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026809)                'UpsellChampion (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21026909)                'Nomenclature (iikoWeb)'                     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027009)                'Loyalty (Light) (iikoWeb)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027109)                'EventsCalendar (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027209)                'DashboardSetup (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027309)                'SupplyChainSetup (iikoWeb)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027409)                'InventorySetup (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027509)                'ItemsList (iikoWeb)'                        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027609)                'StoreOps (iikoWeb)'                         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027709)                'Courier Map (iikoWeb)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027809)                'SMS sending (iikoWeb)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21027909)                'Premium Loyalty Wallet (iikoWeb)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028009)                'Premium Loyalty RFM Analysis (iikoWeb)'     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028109)                'Transaction Log (iikoWeb)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028209)                'DeliveryAggregators (iikoWeb)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028309)                'Executive (iikoWeb)'                        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028409)                'Guest Account (iikoWeb)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028509)                'Configuration (iikoWeb)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028609)                'Templates (iikoWeb)'                        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028709)                'Reports Management (iikoWeb)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028809)                'Telegram Setup (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21028909)                'Xero (iikoWeb)'                             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029009)                'Orders (basic) (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029109)                'Bidvest Integration (iikoWeb)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029209)                'FTP (iikoWeb)'                              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029309)                'Inventory (basic) (iikoWeb)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029409)                'Setup (basic) (iikoWeb)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029509)                'iikoTransport setup (iikoWeb)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21029802)                'Возможность настраивать зоны доставки (iikoRMS)' {2=[9 (2020-07-15, 2020-12-03)]}
DELIVERY_RESTRICTIONS(21029902)  'Использовать ГРиК на сервере и фронте (iikoRMS)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21030009)                'CallCenter 4 Web (iikoWeb)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21030118)                'SberbankSpasibo (iikoFront)'                {2=[9 (2020-07-15, 2020-12-03)]}
